Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Sex,Value
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13",Sex by Service-Connected Status,Service Connection,,SC 0-49,Women,102160
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13",Sex by Service-Connected Status,Service Connection,,SC 50-99,Women,101607
Sex,A. Socio-demographic Characteristics,"A6. Distribution of Sex among FY13 Veteran VHA Patients by Service-Connected Status, FY13",Sex by Service-Connected Status,Service Connection,,SC 100,Women,23153
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,0 encounters,Women,9146
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,1 encounter,Women,17651
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,2 encounters,Women,21483
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,Women,58140
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,Women,83073
Sex,B. VHA Outpatient Utilization,"B1. Distribution of Sex among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Sex by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,Women,193053
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Sex by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,Women,51051
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Sex by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,Women,97913
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Sex by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,Women,78060
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Sex by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,Women,112335
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Sex by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,Women,37081
Sex,B. VHA Outpatient Utilization,"B2. Distribution of Sex among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Sex by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,Women,6106
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,Women,236515
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,Women,29687
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,Women,19897
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,Women,37517
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,Women,28484
Sex,B. VHA Outpatient Utilization,"B3. Distribution of Sex among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Sex by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,Women,30446
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,Women,292368
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,Women,50442
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,Women,20000
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,Women,15819
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,Women,3422
Sex,B. VHA Outpatient Utilization,"B4. Distribution of Sex among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Sex by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,Women,495
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13",Sex by Telephone Visits,Encounters,Telephone Visits,0 encounters,Women,133765
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13",Sex by Telephone Visits,Encounters,Telephone Visits,1 encounter,Women,72205
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13",Sex by Telephone Visits,Encounters,Telephone Visits,2 encounters,Women,45934
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13",Sex by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,Women,68538
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13",Sex by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,Women,41071
Sex,B. VHA Outpatient Utilization,"B5. Distribution of Sex among FY13 Veteran VHA Patients by Telephone Visits, FY13",Sex by Telephone Visits,Encounters,Telephone Visits,12+ encounters,Women,21033
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,Women,382546
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,Women,262360
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,Women,12266
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,Women,24453
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,Women,30889
Sex,B. VHA Outpatient Utilization,"B6. Distribution of Sex among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Sex by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,Women,18617
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,INFECTIOUS DISEASE,Women,33961
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,ENDOCRINE/METABOLIC/NUTRITIONAL,Women,107168
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,CARDIOVASCULAR,Women,195143
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,RESPIRATORY,Women,142182
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,GASTROINTESTINAL,Women,121391
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,URINARY,Women,118509
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,REPRODUCTIVE HEALTH,Women,56227
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,BREAST,Women,119581
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,CANCER,Women,25780
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,HEMATOLOGIC/IMMUNOLOGIC,Women,19264
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,MUSCULOSKELETAL,Women,36128
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,NEUROLOGIC,Women,218308
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,MENTAL HEALTH/SUD,Women,113508
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,SENSE ORGAN,Women,176764
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,DENTAL,Women,121879
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,DERMATOLOGIC,Women,39305
Sex,C. Diagnoses,"C1. Distribution of Sex among FY13 Veteran VHA Patients by Domain, FY13",Sex by Domains,Domains,,OTHER,Women,83347
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS,Women,775
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,Women,601
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,Women,14380
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,Women,15995
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,Women,42660
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,Women,106034
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Overweight/Obesity,Women,73032
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders,Women,48390
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,Women,12615
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,Women,24829
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",Women,32606
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,Women,12241
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Hypertension,Women,109125
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Chest Pain/Angina,Women,19834
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Acute MI,Women,763
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Coronary Artery Disease,Women,11644
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Heart Failure,Women,6592
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Valvular Disease,Women,6669
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,Women,4837
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,Women,14638
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,Women,3778
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,Women,6114
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,Women,4000
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,Women,632
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,Women,3829
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,Women,9886
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,Women,11055
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,Women,15392
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Asthma,Women,28261
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Sarcoidosis,Women,1513
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Pneumonia,Women,3745
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,Women,45085
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,Women,49162
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",Women,25085
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,Women,13771
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,Women,60138
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,Women,9678
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,Women,2330
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,Women,8914
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,Women,5699
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",Women,11320
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,Women,5962
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,Women,2418
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,Women,29530
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Hernia,Women,6198
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,Women,9539
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,Women,4220
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,Women,8615
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,Women,3766
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,Women,1535
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,Women,22181
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Renal failure or Nephropathy,Women,8369
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Calculus of urinary tract,Women,4393
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Hematuria,Women,4646
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Kidney/Ureter Diseases - Other,Women,2710
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis),Women,21960
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Urinary Incontinence,Women,17388
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Urinary Symptoms - Other,Women,7817
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,URINARY,Urinary Conditions - Other,Women,6910
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Male genital disorders,Women,189
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,STIs,Women,7315
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Vaginitis/ cervicitis/ and other pelvic inflammatory conditions,Women,18200
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Cervical Dysplasia/ASCUS,Women,8074
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Endometriosis,Women,3489
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Menstrual disorders,Women,23639
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Fibroids,Women,7754
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,"Ovarian cyst at least once, FY13",Women,4520
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Polycystic ovaries,Women,2923
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Benign Gynecologic Neoplasms - Other,Women,2663
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Prolapse of female genital organs,Women,2768
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Female Reproductive Organ Disorders - Other,Women,29926
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Sexual Dysfunction,Women,3308
Sex,C. Diagnoses,"C2. Distribution of Sex among FY13 Veteran VHA Patients by Condition, FY13",Sex by Conditions,Conditions,REPRODUCTIVE HEALTH,Contraceptive Care Management,Women,25763
