Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Geography,Value
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,Highly.Rural,731
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,Highly.Rural,2351
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",Highly.Rural,8043
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,Highly.Rural,2618
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Hypertension,Highly.Rural,36665
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Chest Pain/Angina,Highly.Rural,3646
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Acute MI,Highly.Rural,525
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Coronary Artery Disease,Highly.Rural,11811
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Heart Failure,Highly.Rural,3815
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Valvular Disease,Highly.Rural,2161
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,Highly.Rural,4300
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,Highly.Rural,4330
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,Highly.Rural,790
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,Highly.Rural,2476
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,Highly.Rural,1239
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,Highly.Rural,1023
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,Highly.Rural,1059
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,Highly.Rural,3803
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,Highly.Rural,2539
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,Highly.Rural,8516
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Asthma,Highly.Rural,2556
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Sarcoidosis,Highly.Rural,75
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Pneumonia,Highly.Rural,1346
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,Highly.Rural,4165
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,Highly.Rural,5054
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",Highly.Rural,5509
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,Highly.Rural,4193
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,Highly.Rural,13662
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,Highly.Rural,883
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,Highly.Rural,665
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,Highly.Rural,1390
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,Highly.Rural,1277
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",Highly.Rural,4734
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,Highly.Rural,2337
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,Highly.Rural,412
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,Highly.Rural,3097
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Hernia,Highly.Rural,2260
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,Highly.Rural,1614
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,Highly.Rural,1212
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,Highly.Rural,2131
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,Highly.Rural,630
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,Highly.Rural,326
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,Highly.Rural,3569
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,URINARY,Renal failure or Nephropathy,Highly.Rural,4436
Geography,C. Diagnoses,"C2. Distribution of Rural/Urban Status among FY13 Veteran VHA Patients by Condition, FY13",Rural/Urban Status by Conditions,Conditions,URINARY,Calculus of urinary tract,Highly.Rural,1176
