Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Mental Illness,Value
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,Mood.Anxiety,53811
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,Mood.Anxiety,76553
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,Mood.Anxiety,19507
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,Mood.Anxiety,53935
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,Mood.Anxiety,32682
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,Mood.Anxiety,15094
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,Mood.Anxiety,22089
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,Mood.Anxiety,73011
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,Mood.Anxiety,56951
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,Mood.Anxiety,136038
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Asthma,Mood.Anxiety,53426
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Sarcoidosis,Mood.Anxiety,2991
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Pneumonia,Mood.Anxiety,27771
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,Mood.Anxiety,115898
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,Mood.Anxiety,124930
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",Mood.Anxiety,111430
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,Mood.Anxiety,82083
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,Mood.Anxiety,285708
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,Mood.Anxiety,26184
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,Mood.Anxiety,13903
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,Mood.Anxiety,36398
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,Mood.Anxiety,30730
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",Mood.Anxiety,76992
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,Mood.Anxiety,36014
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,Mood.Anxiety,8554
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,Mood.Anxiety,89776
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Hernia,Mood.Anxiety,39654
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,Mood.Anxiety,38303
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,Mood.Anxiety,47418
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,Mood.Anxiety,57786
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,Mood.Anxiety,12780
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,Mood.Anxiety,9966
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,Mood.Anxiety,82967
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,URINARY,Renal failure or Nephropathy,Mood.Anxiety,81608
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,URINARY,Calculus of urinary tract,Mood.Anxiety,24962
Serious Mental Illness,C. Diagnoses,"C2. Distribution of SMI among FY13 Veteran VHA Patients by Condition, FY13",SMI by Conditions,Conditions,URINARY,Hematuria,Mood.Anxiety,25887
