Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,Age Group,Value
Age Group,B. VHA Outpatient Utilization,"B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Age Group by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,X18.44,189246
Age Group,B. VHA Outpatient Utilization,"B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Age Group by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,X18.44,217382
Age Group,B. VHA Outpatient Utilization,"B1. Distribution of Age among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13",Age Group by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,X18.44,326617
Age Group,B. VHA Outpatient Utilization,"B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Age Group by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,X18.44,177027
Age Group,B. VHA Outpatient Utilization,"B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Age Group by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,X18.44,308032
Age Group,B. VHA Outpatient Utilization,"B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Age Group by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,X18.44,181059
Age Group,B. VHA Outpatient Utilization,"B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Age Group by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,X18.44,184817
Age Group,B. VHA Outpatient Utilization,"B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Age Group by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,X18.44,41917
Age Group,B. VHA Outpatient Utilization,"B2. Distribution of Age among FY13 Veteran VHA Patients by Primary Care Visits, FY13",Age Group by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,X18.44,5442
Age Group,B. VHA Outpatient Utilization,"B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Age Group by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,X18.44,513954
Age Group,B. VHA Outpatient Utilization,"B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Age Group by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,X18.44,96318
Age Group,B. VHA Outpatient Utilization,"B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Age Group by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,X18.44,55267
Age Group,B. VHA Outpatient Utilization,"B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Age Group by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,X18.44,95488
Age Group,B. VHA Outpatient Utilization,"B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Age Group by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,X18.44,68607
Age Group,B. VHA Outpatient Utilization,"B3. Distribution of Age among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13",Age Group by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,X18.44,68660
Age Group,B. VHA Outpatient Utilization,"B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Age Group by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,X18.44,693636
Age Group,B. VHA Outpatient Utilization,"B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Age Group by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,X18.44,122329
Age Group,B. VHA Outpatient Utilization,"B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Age Group by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,X18.44,43963
Age Group,B. VHA Outpatient Utilization,"B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Age Group by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,X18.44,31424
Age Group,B. VHA Outpatient Utilization,"B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Age Group by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,X18.44,6053
Age Group,B. VHA Outpatient Utilization,"B4. Distribution of Age among FY13 Veteran VHA Patients by Emergency Department Visits, FY13",Age Group by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,X18.44,889
Age Group,B. VHA Outpatient Utilization,"B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13",Age Group by Telephone Visits,Encounters,Telephone Visits,0 encounters,X18.44,403298
Age Group,B. VHA Outpatient Utilization,"B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13",Age Group by Telephone Visits,Encounters,Telephone Visits,1 encounter,X18.44,185353
Age Group,B. VHA Outpatient Utilization,"B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13",Age Group by Telephone Visits,Encounters,Telephone Visits,2 encounters,X18.44,99624
Age Group,B. VHA Outpatient Utilization,"B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13",Age Group by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,X18.44,124671
Age Group,B. VHA Outpatient Utilization,"B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13",Age Group by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,X18.44,60533
Age Group,B. VHA Outpatient Utilization,"B5. Distribution of Age among FY13 Veteran VHA Patients by Telephone Visits, FY13",Age Group by Telephone Visits,Encounters,Telephone Visits,12+ encounters,X18.44,24815
Age Group,B. VHA Outpatient Utilization,"B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Age Group by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,X18.44,747805
Age Group,B. VHA Outpatient Utilization,"B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Age Group by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,X18.44,28953
Age Group,B. VHA Outpatient Utilization,"B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Age Group by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,X18.44,23269
Age Group,B. VHA Outpatient Utilization,"B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Age Group by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,X18.44,29998
Age Group,B. VHA Outpatient Utilization,"B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Age Group by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,X18.44,24135
Age Group,B. VHA Outpatient Utilization,"B6. Distribution of Age among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13",Age Group by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,X18.44,44134
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,INFECTIOUS DISEASE,X18.44,172738
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,ENDOCRINE/METABOLIC/NUTRITIONAL,X18.44,294842
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,CARDIOVASCULAR,X18.44,188232
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,RESPIRATORY,X18.44,193980
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,GASTROINTESTINAL,X18.44,204418
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,URINARY,X18.44,56821
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,REPRODUCTIVE HEALTH,X18.44,127063
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,BREAST,X18.44,10199
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,CANCER,X18.44,9183
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,HEMATOLOGIC/IMMUNOLOGIC,X18.44,33091
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,MUSCULOSKELETAL,X18.44,472046
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,NEUROLOGIC,X18.44,201000
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,MENTAL HEALTH/SUD,X18.44,427749
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,SENSE ORGAN,X18.44,187158
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,DENTAL,X18.44,73094
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,DERMATOLOGIC,X18.44,139554
Age Group,C. Diagnoses,"C1. Distribution of Age among FY13 Veteran VHA Patients by Domain, FY13",Age Group by Domains,Domains,,OTHER,X18.44,432744
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS,X18.44,4292
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,X18.44,989
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,X18.44,26773
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,X18.44,28005
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,X18.44,37131
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,X18.44,156446
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Overweight/Obesity,X18.44,129618
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders,X18.44,26276
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,X18.44,813
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,X18.44,29752
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",X18.44,50681
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,X18.44,12395
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Hypertension,X18.44,126184
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Chest Pain/Angina,X18.44,28763
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Acute MI,X18.44,649
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Coronary Artery Disease,X18.44,5546
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Heart Failure,X18.44,4110
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Valvular Disease,X18.44,4207
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Atrial Fibrillation/Flutter,X18.44,2133
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Arrhythmia/Conduction Disorder - Other,X18.44,19099
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Cardiac Conditions - Other,X18.44,4907
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Accident/TIA,X18.44,2421
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Cerebrovascular Disease - Other,X18.44,2000
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Pecondition Aortic Aneurysm,X18.44,302
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Pulmonary Embolism or Deep Vein Thrombosis,X18.44,4250
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Vascular Disease - Other,X18.44,7975
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,CARDIOVASCULAR,Circulatory System Conditions - Other,X18.44,23303
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,X18.44,5364
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Asthma,X18.44,36130
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Sarcoidosis,X18.44,1500
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Pneumonia,X18.44,3789
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other,X18.44,75617
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis,X18.44,80325
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms",X18.44,37634
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other,X18.44,20795
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders,X18.44,97525
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting,X18.44,13453
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer,X18.44,2727
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other,X18.44,13706
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage,X18.44,13202
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal",X18.44,5368
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis,X18.44,3532
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease,X18.44,5338
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders,X18.44,38360
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Hernia,X18.44,13236
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids,X18.44,14687
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C,X18.44,3924
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,X18.44,29760
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease,X18.44,3914
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,X18.44,2372
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other,X18.44,33924
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Renal failure or Nephropathy,X18.44,7971
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Calculus of urinary tract,X18.44,11558
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Hematuria,X18.44,7127
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Kidney/Ureter Diseases - Other,X18.44,3286
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Urinary Tract Infection (cystitis/ urethritis/ pyelonephritis),X18.44,15346
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Urinary Incontinence,X18.44,7419
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Urinary Symptoms - Other,X18.44,9442
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,URINARY,Urinary Conditions - Other,X18.44,8125
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Male genital disorders,X18.44,16929
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,STIs,X18.44,17364
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Vaginitis/ cervicitis/ and other pelvic inflammatory conditions,X18.44,11670
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Cervical Dysplasia/ASCUS,X18.44,5900
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Endometriosis,X18.44,2734
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Menstrual disorders,X18.44,17591
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Fibroids,X18.44,3562
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,"Ovarian cyst at least once, FY13",X18.44,3147
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Polycystic ovaries,X18.44,2691
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Benign Gynecologic Neoplasms - Other,X18.44,976
Age Group,C. Diagnoses,"C2. Distribution of Age among FY13 Veteran VHA Patients by Condition, FY13",Age Group by Conditions,Conditions,REPRODUCTIVE HEALTH,Prolapse of female genital organs,X18.44,543
